zip;county;state;geopoint;timezone
00501;SUFFOLK COUNTY;NY;40.922326,-72.637078;America/New_York
00544;SUFFOLK COUNTY;NY;40.922326,-72.637078;America/New_York
00601;ADJUNTAS MUNICIPIO;PR;18.180103,-66.74947;America/Puerto_Rico
00602;AGUADA MUNICIPIO;PR;18.363285,-67.18024;America/Puerto_Rico
00603;AGUADILLA MUNICIPIO;PR;18.448619,-67.13422;America/Puerto_Rico
00604;;PR;18.498987,-67.13699;America/Puerto_Rico
00605;;PR;18.465162,-67.141486;America/Puerto_Rico
00606;MARICAO MUNICIPIO;PR;18.182151,-66.9588;America/Puerto_Rico
00610;ANASCO MUNICIPIO;PR;18.288319,-67.13604;America/Puerto_Rico
00611;;PR;18.279531,-66.80217;America/Puerto_Rico
00612;ARECIBO MUNICIPIO;PR;18.449732,-66.69879;America/Puerto_Rico
00613;;PR;18.458093,-66.732732;America/Puerto_Rico
00614;;PR;18.429675,-66.674506;America/Puerto_Rico
00616;ARECIBO MUNICIPIO;PR;18.426748,-66.67669;America/Puerto_Rico
00617;BARCELONETA MUNICIPIO;PR;18.455499,-66.55575;America/Puerto_Rico
00622;CABO ROJO MUNICIPIO;PR;18.003125,-67.16745;America/Puerto_Rico
00623;CABO ROJO MUNICIPIO;PR;18.08643,-67.15222;America/Puerto_Rico
00624;PENUELAS MUNICIPIO;PR;18.055399,-66.72602;America/Puerto_Rico
00627;CAMUY MUNICIPIO;PR;18.435246,-66.85644;America/Puerto_Rico
00631;LARES MUNICIPIO;PR;18.186739,-66.85174;America/Puerto_Rico
00636;;PR;18.113284,-67.039706;America/Puerto_Rico
00637;SABANA GRANDE MUNICIPIO;PR;18.073078,-66.94864;America/Puerto_Rico
00638;CIALES MUNICIPIO;PR;18.308139,-66.49835;America/Puerto_Rico
00641;UTUADO MUNICIPIO;PR;18.268896,-66.70519;America/Puerto_Rico
00646;DORADO MUNICIPIO;PR;18.442798,-66.27689;America/Puerto_Rico
00647;GUANICA MUNICIPIO;PR;17.964529,-66.93993;America/Puerto_Rico
00650;FLORIDA MUNICIPIO;PR;18.363331,-66.56773;America/Puerto_Rico
00652;ARECIBO MUNICIPIO;PR;18.457453,-66.61217;America/Puerto_Rico
00653;GUANICA MUNICIPIO;PR;17.992112,-66.90097;America/Puerto_Rico
00656;GUAYANILLA MUNICIPIO;PR;18.038866,-66.79168;America/Puerto_Rico
00659;HATILLO MUNICIPIO;PR;18.432956,-66.80039;America/Puerto_Rico
00660;HORMIGUEROS MUNICIPIO;PR;18.139108,-67.12085;America/Puerto_Rico
00662;ISABELA MUNICIPIO;PR;18.478855,-67.01973;America/Puerto_Rico
00664;JAYUYA MUNICIPIO;PR;18.212565,-66.59243;America/Puerto_Rico
00667;LAJAS MUNICIPIO;PR;18.017819,-67.04226;America/Puerto_Rico
00669;LARES MUNICIPIO;PR;18.288418,-66.87503;America/Puerto_Rico
00670;LAS MARIAS MUNICIPIO;PR;18.241343,-66.97604;America/Puerto_Rico
00674;MANATI MUNICIPIO;PR;18.426137,-66.48697;America/Puerto_Rico
00676;MOCA MUNICIPIO;PR;18.37956,-67.08424;America/Puerto_Rico
00677;RINCON MUNICIPIO;PR;18.336121,-67.23675;America/Puerto_Rico
00678;QUEBRADILLAS MUNICIPIO;PR;18.442334,-66.93275;America/Puerto_Rico
00680;MAYAGUEZ MUNICIPIO;PR;18.205232,-67.12655;America/Puerto_Rico
00681;;PR;18.219023,-67.508068;America/Puerto_Rico
00682;MAYAGUEZ MUNICIPIO;PR;18.208402,-67.15428;America/Puerto_Rico
00683;SAN GERMAN MUNICIPIO;PR;18.092807,-67.04524;America/Puerto_Rico
00685;SAN SEBASTIAN MUNICIPIO;PR;18.332595,-66.98104;America/Puerto_Rico
00687;MOROVIS MUNICIPIO;PR;18.31708,-66.41528;America/Puerto_Rico
00688;ARECIBO MUNICIPIO;PR;18.40415,-66.61348;America/Puerto_Rico
00690;AGUADILLA MUNICIPIO;PR;18.495369,-67.09867;America/Puerto_Rico
00692;VEGA ALTA MUNICIPIO;PR;18.419666,-66.33186;America/Puerto_Rico
00693;VEGA BAJA MUNICIPIO;PR;18.440667,-66.3921;America/Puerto_Rico
